pageid,ns,title,images
1488304,0,María Asunción Aramburuzabala,"['https://upload.wikimedia.org/wikipedia/commons/7/73/Blue_pencil.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/f3/Emblem-money.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/fc/Flag_of_Mexico.svg', 'https://upload.wikimedia.org/wikipedia/commons/5/53/Help_books.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/38/Info_Simple.svg', 'https://upload.wikimedia.org/wikipedia/commons/a/a9/MaAsuncionAramburuzabala.gif']"
39721295,0,Nasry Asfura,"['https://upload.wikimedia.org/wikipedia/commons/2/2d/01.09_%E7%B8%BD%E7%B5%B1%E6%96%BC%E4%B8%AD%E8%8F%AF%E6%B0%91%E5%9C%8B%E5%BB%A3%E5%A0%B4%EF%BC%8C%E6%8E%A5%E5%8F%97%E5%AE%8F%E4%BA%AC%E5%B8%82%E9%95%B7%E9%98%BF%E6%96%AF%E5%A4%AB%E6%8B%89%28Nasry_Juan_Asfura_Zablah%29%E8%87%B4%E8%B4%88%E7%B8%BD%E7%B5%B1%E5%B8%82%E9%91%B0%EF%BC%8C%E8%A1%A8%E9%81%94%E5%B0%8D%E8%A8%AA%E5%9C%98%E4%B8%80%E8%A1%8C%E7%9A%84%E6%AD%A1%E8%BF%8E_%2832062590462%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/38/Info_Simple.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/c9/Portal.svg', 'https://upload.wikimedia.org/wikipedia/commons/5/5b/Society.svg']"
40378134,0,Andrej Babiš,"['https://upload.wikimedia.org/wikipedia/commons/d/d4/Andrej_Babi%C5%A1_-_signature.png', 'https://upload.wikimedia.org/wikipedia/commons/b/bb/Andrej_Babi%C5%A1_v_roce_2020_%28cropped%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/73/Blue_pencil.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/30/Circle-icons-scissors.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/ed/Coat_of_arms_of_the_Czech_Republic.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/07/Council_of_the_EU_and_European_Council.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/07/Council_of_the_EU_and_European_Council.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/33/Emblem_of_the_Government_of_the_Czech_Republic.svg', 'https://upload.wikimedia.org/wikipedia/commons/a/a2/Factory.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/cb/Flag_of_the_Czech_Republic.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/b7/Flag_of_Europe.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/cb/Flag_of_the_Czech_Republic.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/38/Info_Simple.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/73/Ministry_of_Finance_of_the_Czech_Republic_logo-en.png', 'https://upload.wikimedia.org/wikipedia/commons/d/d2/Monika_Babi%C5%A1ov%C3%A1_a_Andrej_Babi%C5%A1_2015.JPG', 'https://upload.wikimedia.org/wikipedia/commons/6/6c/New_disambig.svg', 'https://upload.wikimedia.org/wikipedia/commons/5/5b/Society.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/ce/Wikitext.svg']"
61319390,0,Ivan Bakanov,
20168596,0,Nir Barkat,"['https://upload.wikimedia.org/wikipedia/commons/7/7f/Emblem_of_Jerusalem.svg', 'https://upload.wikimedia.org/wikipedia/commons/d/d4/Flag_of_Israel.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/38/Info_Simple.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/01/Nir_Barkat%2C_Mayor_of_Jerusalem_%284462290204%29_%28cropped%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/5b/Society.svg']"
11117435,0,Andres D. Bautista,
271186,0,Cherie Blair,"['https://upload.wikimedia.org/wikipedia/commons/a/a1/2017-fr.wp-orange-source.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/73/Blue_pencil.svg', 'https://upload.wikimedia.org/wikipedia/commons/2/21/Cherie_Blair_QC_%28cropped2%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/da/Circle-icons-pencil.svg', 'https://upload.wikimedia.org/wikipedia/commons/a/af/Crowned_Portcullis.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/38/Info_Simple.svg', 'https://upload.wikimedia.org/wikipedia/commons/6/6c/New_disambig.svg']"
3301347,0,Tony Blair,"['https://upload.wikimedia.org/wikipedia/commons/2/23/2005_03_01_rice_blair_600.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/83/Article_de_qualit%C3%A9.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/83/Article_de_qualit%C3%A9.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/70/Blair_Bush_Whitehouse_%282004-11-12%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/a3/Blair_June_2007.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/73/Blue_pencil.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/34/BushBlairIraqSov.jpg', 'https://upload.wikimedia.org/wikipedia/commons/0/0f/Chirac_Bush_Blair_Berlusconi.jpg', 'https://upload.wikimedia.org/wikipedia/commons/c/cb/Clinton_Blair.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/af/Crowned_Portcullis.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/b7/Flag_of_Europe.svg', 'https://upload.wikimedia.org/wikipedia/commons/d/d4/Flag_of_Israel.svg', 'https://upload.wikimedia.org/wikipedia/commons/1/1f/Flag_of_Kosovo.svg', 'https://upload.wikimedia.org/wikipedia/commons/1/10/Flag_of_Scotland.svg', 'https://upload.wikimedia.org/wikipedia/commons/a/ae/Flag_of_the_United_Kingdom.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/38/Info_Simple.svg', 'https://upload.wikimedia.org/wikipedia/commons/6/6c/New_disambig.svg', 'https://upload.wikimedia.org/wikipedia/commons/1/1a/Royal_Coat_of_Arms_of_the_United_Kingdom_%28HM_Government%29.svg', 'https://upload.wikimedia.org/wikipedia/commons/2/21/Tony_Blair_-_Jerusalem_-_June_2011.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8e/Tony_Blair_2010_%28cropped%29.jpg']"
3149816,0,Ali Bongo Ondimba,"['https://upload.wikimedia.org/wikipedia/commons/8/86/Africa_%28orthographic_projection%29.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/e6/Ali_Bongo_-_allocution_du_21_mars_2020_%28cropped%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/97/Ali_Bongo_Ondimba%2C_2012.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/73/Blue_pencil.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/77/Coat_of_arms_of_Gabon.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/04/Flag_of_Gabon.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/cf/Illegal_Wildlife_Trade_Conference_London_2018_%2845245994881%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/38/Info_Simple.svg', 'https://upload.wikimedia.org/wikipedia/commons/a/aa/Lock-red-alt-2.svg', 'https://upload.wikimedia.org/wikipedia/commons/6/6c/New_disambig.svg', 'https://upload.wikimedia.org/wikipedia/commons/5/5b/Society.svg']"
148209,0,Miguel Bosé,"['https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/73/Blue_pencil.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/38/Info_Simple.svg', 'https://upload.wikimedia.org/wikipedia/commons/a/aa/Italy_film_clapperboard.svg', 'https://upload.wikimedia.org/wikipedia/commons/a/a7/Miguel_Bos%C3%A9_en_la_Presentaci%C3%B3n_de_la_Gala_Sida_de_2017.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/ac/Musical_notes.svg', 'https://upload.wikimedia.org/wikipedia/commons/6/6c/New_disambig.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/3c/Spain_film_clapperboard.svg']"
