pageid,ns,title,categories
1488304,0,María Asunción Aramburuzabala,"['Catégorie:Article manquant de références/Liste complète', 'Catégorie:Article manquant de références depuis février 2019', ""Catégorie:Article utilisant l'infobox Biographie2"", 'Catégorie:Article utilisant une Infobox', 'Catégorie:Article à référence nécessaire', 'Catégorie:Maître brasseur', 'Catégorie:Milliardaire mexicain', 'Catégorie:Naissance en mai 1963', 'Catégorie:Naissance à Mexico', 'Catégorie:Page utilisant P106', 'Catégorie:Page utilisant P18', 'Catégorie:Page utilisant P19', 'Catégorie:Page utilisant P26', 'Catégorie:Page utilisant P27', 'Catégorie:Page utilisant P569', 'Catégorie:Page utilisant P69', 'Catégorie:Personnalité féminine du monde des affaires', 'Catégorie:Personnalité féminine mexicaine', 'Catégorie:Personnalité mexicaine du monde des affaires', 'Catégorie:Personne citée dans le scandale des Pandora Papers', 'Catégorie:Portail:Amérique/Articles liés', 'Catégorie:Portail:Amérique du Nord/Articles liés', 'Catégorie:Portail:Biographie/Articles liés/Entreprises', 'Catégorie:Portail:Mexique/Articles liés', 'Catégorie:Portail:Économie/Articles liés', 'Catégorie:Wikipédia:Article biographique']"
39721295,0,Nasry Asfura,"['Catégorie:Article utilisant une Infobox', 'Catégorie:Naissance en juin 1958', 'Catégorie:Naissance à Tegucigalpa', 'Catégorie:Personnalité politique hondurienne', 'Catégorie:Personne citée dans le scandale des Pandora Papers', 'Catégorie:Portail:Amérique/Articles liés', 'Catégorie:Portail:Amérique centrale/Articles liés', 'Catégorie:Portail:Biographie/Articles liés/Politique', 'Catégorie:Portail:Biographie/Articles liés/Sciences', 'Catégorie:Portail:Honduras/Articles liés', 'Catégorie:Portail:Politique/Articles liés', 'Catégorie:Wikipédia:Article biographique']"
40378134,0,Andrej Babiš,"['Catégorie:Article avec section à wikifier depuis juin 2019', 'Catégorie:Article avec une section vide ou incomplète', ""Catégorie:Article de Wikipédia avec notice d'autorité"", 'Catégorie:Article utilisant une Infobox', 'Catégorie:Article à référence nécessaire', 'Catégorie:Catégorie Commons avec lien local identique sur Wikidata', 'Catégorie:Entrepreneur tchèque', 'Catégorie:Milliardaire tchèque', 'Catégorie:Ministre tchèque des Finances', 'Catégorie:Naissance en Tchécoslovaquie', 'Catégorie:Naissance en septembre 1954', 'Catégorie:Naissance à Bratislava', 'Catégorie:Page pointant vers des bases externes', 'Catégorie:Page pointant vers des dictionnaires ou encyclopédies généralistes', 'Catégorie:Page utilisant P1284', 'Catégorie:Page utilisant P3222', 'Catégorie:Page utilisant P3365', 'Catégorie:Page utilisant P4342', 'Catégorie:Page utilisant P5019', 'Catégorie:Page utilisant P7982', 'Catégorie:Page utilisant un modèle Bases inactif', 'Catégorie:Page utilisant un sommaire limité', 'Catégorie:Personne citée dans le scandale des Pandora Papers', 'Catégorie:Portail:Biographie/Articles liés/Entreprises', 'Catégorie:Portail:Biographie/Articles liés/Politique', 'Catégorie:Portail:Biographie/Articles liés/Sciences', 'Catégorie:Portail:Entreprises/Articles liés', 'Catégorie:Portail:Europe/Articles liés', 'Catégorie:Portail:Politique/Articles liés', 'Catégorie:Portail:Tchéquie/Articles liés', 'Catégorie:Portail:Union européenne/Articles liés', 'Catégorie:Portail:Économie/Articles liés', 'Catégorie:Président du gouvernement de la Tchéquie', 'Catégorie:Wikipédia:Article biographique', ""Catégorie:Étudiant de l'université d'économie de Bratislava""]"
61319390,0,Ivan Bakanov,
20168596,0,Nir Barkat,"['Catégorie:Article utilisant une Infobox', 'Catégorie:Maire de Jérusalem', 'Catégorie:Membre de la Knesset', 'Catégorie:Naissance en octobre 1959', 'Catégorie:Naissance à Jérusalem', 'Catégorie:Personnalité de Kadima', 'Catégorie:Personnalité du Likoud', 'Catégorie:Personnalité israélienne du monde des affaires', 'Catégorie:Personne citée dans le scandale des Pandora Papers', 'Catégorie:Portail:Asie/Articles liés', 'Catégorie:Portail:Biographie/Articles liés/Entreprises', 'Catégorie:Portail:Biographie/Articles liés/Politique', 'Catégorie:Portail:Israël/Articles liés', 'Catégorie:Portail:Moyen-Orient/Articles liés', 'Catégorie:Portail:Politique/Articles liés', 'Catégorie:Wikipédia:Article biographique', ""Catégorie:Étudiant de l'université hébraïque de Jérusalem""]"
11117435,0,Andres D. Bautista,
271186,0,Cherie Blair,"['Catégorie:100 femmes de la BBC', ""Catégorie:Article de Wikipédia avec notice d'autorité"", 'Catégorie:Article manquant de références/Liste complète', 'Catégorie:Article manquant de références depuis décembre 2020', 'Catégorie:Article utilisant une Infobox', 'Catégorie:Article à référence nécessaire', 'Catégorie:Avocat britannique du XXe siècle', ""Catégorie:Commandeur de l'ordre de l'Empire britannique"", 'Catégorie:Conjoint du Premier ministre britannique', ""Catégorie:Docteur honoris causa de l'université de Liverpool"", ""Catégorie:Docteur honoris causa de l'université de Manchester"", ""Catégorie:Docteur honoris causa de l'université de Roehampton"", ""Catégorie:Docteur honoris causa de l'université de Westminster"", 'Catégorie:Mémorialiste anglais', 'Catégorie:Naissance en septembre 1954', 'Catégorie:Naissance à Bury', 'Catégorie:Page pointant vers des bases externes', 'Catégorie:Page pointant vers des bases relatives aux beaux-arts', ""Catégorie:Page pointant vers des bases relatives à l'audiovisuel"", 'Catégorie:Page pointant vers des dictionnaires ou encyclopédies généralistes', 'Catégorie:Page utilisant P1417', 'Catégorie:Page utilisant P1816', 'Catégorie:Page utilisant P345', 'Catégorie:Page utilisant P7902', 'Catégorie:Personnalité liée au Mouvement Emmaüs', 'Catégorie:Personne citée dans le scandale des Pandora Papers', 'Catégorie:Portail:Biographie/Articles liés/Culture et arts', 'Catégorie:Portail:Biographie/Articles liés/Droit', 'Catégorie:Portail:Biographie/Articles liés/Politique', 'Catégorie:Portail:Europe/Articles liés', 'Catégorie:Portail:Politique/Articles liés', 'Catégorie:Portail:Politique britannique/Articles liés', 'Catégorie:Portail:Royaume-Uni/Articles liés', 'Catégorie:Rédaction à améliorer', 'Catégorie:Wikipédia:Article biographique', 'Catégorie:Étudiant de la London School of Economics']"
3301347,0,Tony Blair,"['Catégorie:Article contenant un appel à traduction en anglais', ""Catégorie:Article de Wikipédia avec notice d'autorité"", 'Catégorie:Article utilisant une Infobox', 'Catégorie:Article à référence nécessaire', 'Catégorie:Autobiographe anglais', 'Catégorie:Catégorie Commons avec lien local identique sur Wikidata', 'Catégorie:Chef du Parti travailliste (Royaume-Uni)', ""Catégorie:Docteur honoris causa de l'université Queen's de Belfast"", ""Catégorie:Docteur honoris causa de l'université de Haïfa"", ""Catégorie:Docteur honoris causa de l'université de Liverpool Hope"", ""Catégorie:Docteur honoris causa de l'université de Pristina"", ""Catégorie:Docteur honoris causa de l'université hébraïque de Jérusalem"", 'Catégorie:Député du 49e Parlement du Royaume-Uni', 'Catégorie:Député du 50e Parlement du Royaume-Uni', 'Catégorie:Député du 51e Parlement du Royaume-Uni', 'Catégorie:Député du 52e Parlement du Royaume-Uni', 'Catégorie:Député du 53e Parlement du Royaume-Uni', 'Catégorie:Député du 54e Parlement du Royaume-Uni', 'Catégorie:Député du Parti travailliste (Royaume-Uni)', 'Catégorie:Lauréat du prix Dan-David', 'Catégorie:Membre du Conseil privé du Royaume-Uni', 'Catégorie:Naissance en mai 1953', 'Catégorie:Naissance à Édimbourg', ""Catégorie:Personnalité liée à la guerre d'Irak"", 'Catégorie:Personne citée dans le scandale des Pandora Papers', 'Catégorie:Portail:Biographie/Articles liés/Culture et arts', 'Catégorie:Portail:Biographie/Articles liés/Droit', 'Catégorie:Portail:Biographie/Articles liés/Politique', 'Catégorie:Portail:Europe/Articles liés', 'Catégorie:Portail:Politique/Articles liés', 'Catégorie:Portail:Politique britannique/Articles liés', 'Catégorie:Portail:Royaume-Uni/Articles liés', 'Catégorie:Portail:Écosse/Articles liés', 'Catégorie:Premier ministre du Royaume-Uni', 'Catégorie:Prix Charlemagne', ""Catégorie:Professeur à l'université Yale"", ""Catégorie:Récipiendaire de la médaille d'or du Congrès des États-Unis"", 'Catégorie:Récipiendaire de la médaille présidentielle de la Liberté', 'Catégorie:Société fabienne', 'Catégorie:Tony Blair', 'Catégorie:Wikipédia:Article biographique', ""Catégorie:Étudiant de St John's College (Oxford)""]"
3149816,0,Ali Bongo Ondimba,"['Catégorie:Article contenant un lien mort', ""Catégorie:Article de Wikipédia avec notice d'autorité"", 'Catégorie:Article utilisant une Infobox', ""Catégorie:Grand officier de la Légion d'honneur"", 'Catégorie:Ministre de la Défense ou équivalent', 'Catégorie:Ministre gabonais des Affaires étrangères', 'Catégorie:Naissance en février 1959', 'Catégorie:Naissance à Brazzaville', 'Catégorie:Personnalité gabonaise', 'Catégorie:Personnalité politique gabonaise', 'Catégorie:Personne citée dans le scandale des Pandora Papers', 'Catégorie:Portail:Afrique/Articles liés', 'Catégorie:Portail:Biographie/Articles liés/Droit', 'Catégorie:Portail:Biographie/Articles liés/Politique', 'Catégorie:Portail:Gabon/Articles liés', 'Catégorie:Portail:Politique/Articles liés', 'Catégorie:Président du Gabon', ""Catégorie:Récipiendaire de l'ordre national du Mérite (Gabon)"", 'Catégorie:Wikipédia:Article biographique', 'Catégorie:Élève de Sainte-Croix de Neuilly', ""Catégorie:Étudiant de l'université Paris I Panthéon Sorbonne""]"
148209,0,Miguel Bosé,"['Catégorie:Acteur ayant incarné Henri Ier de Guise', 'Catégorie:Acteur espagnol', 'Catégorie:Acteur italien', 'Catégorie:Animateur de télévision espagnol', 'Catégorie:Animateur de télévision italien', 'Catégorie:Article avec une section vide ou incomplète', ""Catégorie:Article de Wikipédia avec notice d'autorité"", ""Catégorie:Article utilisant l'infobox Biographie2"", 'Catégorie:Article utilisant une Infobox', 'Catégorie:Article à référence nécessaire', 'Catégorie:Artiste de Warner Music Latina', 'Catégorie:Artiste de la Compagnia Generale del Disco', 'Catégorie:Catégorie Commons avec lien local identique sur Wikidata', 'Catégorie:Chanteur espagnol', 'Catégorie:Chanteur italien du XXIe siècle', 'Catégorie:Chanteur italien du XXe siècle', 'Catégorie:Double nationalité', 'Catégorie:Membre du jury de La voz (Mexique)', ""Catégorie:Médaille d'or du mérite des beaux-arts (Espagne)"", 'Catégorie:Naissance au Panama', 'Catégorie:Naissance en avril 1956', 'Catégorie:Page pointant vers des bases externes', ""Catégorie:Page pointant vers des bases relatives à l'audiovisuel"", 'Catégorie:Page pointant vers des bases relatives à la musique', 'Catégorie:Page utilisant P1038', 'Catégorie:Page utilisant P106', 'Catégorie:Page utilisant P1266', 'Catégorie:Page utilisant P136', 'Catégorie:Page utilisant P1477', 'Catégorie:Page utilisant P166', 'Catégorie:Page utilisant P1728', 'Catégorie:Page utilisant P18', 'Catégorie:Page utilisant P19', 'Catégorie:Page utilisant P1953', 'Catégorie:Page utilisant P2019', 'Catégorie:Page utilisant P2031', 'Catégorie:Page utilisant P22', 'Catégorie:Page utilisant P25', 'Catégorie:Page utilisant P264', 'Catégorie:Page utilisant P27', 'Catégorie:Page utilisant P3373', 'Catégorie:Page utilisant P345', 'Catégorie:Page utilisant P3478', 'Catégorie:Page utilisant P358', 'Catégorie:Page utilisant P412', 'Catégorie:Page utilisant P4208', 'Catégorie:Page utilisant P434', 'Catégorie:Page utilisant P463', 'Catégorie:Page utilisant P5295', 'Catégorie:Page utilisant P5404', 'Catégorie:Page utilisant P569', 'Catégorie:Page utilisant P5882', 'Catégorie:Page utilisant P856', 'Catégorie:Personne citée dans le scandale des Pandora Papers', 'Catégorie:Portail:Biographie/Articles liés/Culture et arts', 'Catégorie:Portail:Cinéma/Articles liés', 'Catégorie:Portail:Cinéma espagnol/Articles liés', 'Catégorie:Portail:Cinéma italien/Articles liés', 'Catégorie:Portail:Espagne/Articles liés', 'Catégorie:Portail:Europe/Articles liés', 'Catégorie:Portail:Italie/Articles liés', 'Catégorie:Portail:Musique/Articles liés', 'Catégorie:Portail:Médias/Articles liés', 'Catégorie:Portail:Télévision/Articles liés', 'Catégorie:Wikipédia:Article biographique']"
