pageid,ns,title
50279137,0,Mihran Poghosyan
3159008,0,Petro Poroshenko
14260387,0,Malik Mohammad Qayyum
53904801,0,Qi Qiaoqiao
654357,0,Rodrigo Rato
38612838,0,Kalpana Rawal
143279,0,Real Sociedad
4534532,0,Marc Rieper
20378111,0,Sergei Roldugin
50196738,0,Javier de la Rosa
1628331,0,Nico Rosberg
47049413,0,Éric de Rothschild
4466351,0,Nigel Rudd
18097541,0,Dmitry Rybolovlev
61390840,0,Alex Saab
46476369,0,Teddy Sagi
56681781,0,Saifullah Khan family
50362642,0,Osman Saifullah
50077480,0,Anil Salgaocar
651303,0,Ricardo Salinas Pliego
37116248,0,Salman bin Abdulaziz bin Salman Al Saud
2049120,0,Salman of Saudi Arabia
16647091,0,Harish Salve
2373845,0,Muhammad bin Fahd Al Saud
24147469,0,Muhammad bin Nayef
641408,0,Saud bin Faisal Al Saud (1940–2015)
403248,0,Sultan bin Abdulaziz
35129570,0,Turki bin Nasser Al Saud
38636043,0,Corinna zu Sayn-Wittgenstein-Sayn
50078902,0,Keith Schembri
4583163,0,Gabriel Schürrer
616584,0,Clarence Seedorf
1687414,0,Mir Shakil-ur-Rahman
50043141,0,Atan Shansonga
1601813,0,"Pamela Sharples, Baroness Sharples"
5178084,0,Kushal Pal Singh
39586936,0,José Manuel Soria
609471,0,Alfonso Soriano
37970878,0,Mallika Srinivasan
32298369,0,Beny Steinmetz
1669496,0,Dominique Strauss-Kahn
18213534,0,Ion Sturza
38148632,0,Ziad Takieddine
16318130,0,Hamad bin Jassim bin Jaber Al Thani
295929,0,Hamad bin Khalifa Al Thani
928596,0,Mark Thatcher
3958656,0,Thyssen family
5770338,0,Frank Timiș
2444452,0,Ion Țiriac
62662046,0,Brian Tonna
50037330,0,Mamadie Touré
647260,0,Jarno Trulli
82061,0,Tina Turner
13401069,0,Leonardo Ulloa
27289825,0,Sandiaga Uno
237015,0,Iñaki Urdangarin
23992653,0,Barbara d'Urso
27825663,0,Jérôme Valcke
919815,0,Valentino (fashion designer)
163278,0,Mario Vargas Llosa
8103603,0,José Maria Botelho de Vasconcelos
50040955,0,Ang Vong Vathana
11567587,0,Carlo Verdone
50042503,0,Jesús Villanueva
50139804,0,Gabriele Volpi
20194621,0,Karim Wade
50107186,0,Anders Wall
50041878,0,Victor Cruz Weffer
509185,0,Sanford I. Weill
35291701,0,Jacob Weinroth
13380253,0,Dov Weissglas
42610278,0,Benjamin Wey
9431059,0,"Willian (footballer, born 1988)"
43356,0,Tiger Woods
1346106,0,Neville Wran
5821023,0,Nicky Wu
125270,0,"Sarah, Duchess of York"
543293,0,Iván Zamorano
50042369,0,Khulubuse Zuma
